Country,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iceland,44.47,49.39,79.12,83.88,87.00,89.51,90.60,91.00,93.00,93.39,94.82,96.21,96.55,98.16,98.20,98.24,98.26,99.01,99.00
India,0.53,0.66,1.54,1.98,2.39,2.81,3.95,4.38,5.12,7.50,10.07,11.10,12.30,13.50,14.90,16.50,18.20,20.08,41.00
Indonesia,0.93,2.02,2.13,2.60,3.60,4.76,5.79,7.92,6.92,10.92,12.28,14.52,14.94,17.14,22.06,25.45,32.34,39.90,47.69
Iran (Islamic Republic of),0.93,1.48,4.63,7.49,8.10,8.76,9.47,12.02,13.80,15.90,19.00,22.73,29.95,39.35,45.33,53.23,64.04,70.20,77.77
Iraq,,0.10,0.50,0.90,0.90,0.95,0.93,1.00,1.06,2.50,5.00,7.10,9.20,13.21,16.80,36.70,49.36,,
Ireland,17.85,23.14,25.85,36.99,41.61,54.82,61.16,65.34,67.38,69.85,74.89,76.92,78.25,83.49,83.49,83.50,84.11,87.00,87.00
Israel,20.87,17.38,17.76,22.77,25.19,27.88,48.13,59.39,63.12,67.50,68.87,70.80,70.25,75.02,77.35,79.65,81.58,83.73,86.79
Italy,23.11,27.22,28.04,33.24,35.00,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.46,55.64,58.14,61.32,63.08,74.39,76.10
Jamaica,3.12,3.86,6.10,10.00,12.80,16.40,21.10,23.60,24.30,27.67,37.44,33.79,37.10,40.40,42.22,44.37,55.07,68.21,
Japan,29.99,38.53,46.59,62.39,66.92,68.69,74.30,75.40,78.00,78.21,79.05,79.50,88.22,89.11,91.06,93.18,91.73,91.28,92.73
Jersey,9.22,16.06,19.41,30.68,31.25,31.82,32.39,,,,36.00,41.03,,,,,,,
Jordan,2.62,4.71,6.03,11.66,12.93,13.87,20.00,23.00,26.00,27.20,34.90,37.00,41.40,46.20,60.11,62.30,66.79,,
Kazakhstan,0.67,1.01,1.67,2.65,2.96,3.27,4.02,11.00,18.20,31.60,50.60,61.91,63.30,66.00,70.83,74.59,76.43,78.90,81.88
Kenya,0.32,0.62,1.21,3.02,3.10,3.60,4.40,5.20,6.10,7.20,8.80,10.50,13.00,16.50,16.59,16.60,17.83,19.50,22.57
Kiribati,1.79,2.34,2.50,3.50,4.00,4.50,6.00,7.00,8.97,9.07,10.00,10.75,11.50,12.25,13.00,13.70,14.58,,
Korea (Rep. of),44.70,56.60,59.40,72.70,73.50,78.10,78.80,81.00,81.60,83.70,83.76,84.07,84.77,87.56,89.90,92.84,95.07,96.02,96.16
Kosovo,,,,,,,,,,,,,,,,,83.89,89.44,
Kuwait,6.73,8.55,10.25,22.93,25.93,28.79,34.80,42.00,50.80,61.40,65.77,70.45,75.46,78.70,78.00,78.37,98.00,99.60,99.54
Kyrgyzstan,1.04,3.00,3.00,5.09,10.53,12.31,14.03,15.70,16.00,16.30,17.50,19.80,23.00,28.30,30.25,37.00,38.20,,
Lao P.D.R.,0.11,0.18,0.27,0.36,0.85,1.17,1.64,3.55,6.00,7.00,9.00,10.75,12.50,14.26,18.20,21.87,25.51,,
Latvia,6.32,7.22,21.94,38.58,46.00,53.63,59.17,63.41,66.84,68.42,69.75,73.12,75.23,75.83,79.20,79.84,80.11,83.58,86.14
Lebanon,7.95,6.78,7.00,9.00,10.14,15.00,18.74,22.53,30.14,43.68,52.00,61.25,70.50,73.00,74.00,76.11,78.18,,
Lesotho,0.21,0.26,1.08,2.18,2.58,2.98,3.45,3.58,3.72,3.86,7.00,10.00,15.00,22.00,25.00,32.45,39.00,40.80,42.30
Liberia,0.02,0.03,0.03,0.03,,,0.55,0.53,2.00,2.30,2.50,2.60,3.20,5.41,10.00,15.70,16.30,18.90,22.00
Libya,0.19,0.37,2.24,3.53,3.92,4.30,4.72,9.00,10.80,14.00,14.00,,16.50,17.76,19.02,20.27,21.76,,
Liechtenstein,36.52,45.12,59.47,64.01,63.37,64.21,65.08,70.00,75.00,80.00,85.00,89.41,93.80,95.21,96.64,98.09,99.55,,
Lithuania,6.43,7.18,17.69,31.23,36.22,43.90,49.90,55.22,59.76,62.12,63.64,67.23,68.45,72.13,71.38,74.38,77.62,79.72,81.58
Luxembourg,22.89,36.16,39.84,65.88,70.00,72.51,78.92,82.23,87.31,90.62,90.03,91.95,93.78,94.67,96.38,98.14,97.36,97.06,97.12
